year	format	category	copies
1923	books and pamphlets	total	359,391,018
1923	books and pamphlets	Education	96,479,723
1923	books and pamphlets	Fiction	30,014,162
1923	books and pamphlets	General literature	61,915,885
1923	books and pamphlets	History	6,457,303
1923	books and pamphlets	Juvenile	49,679,895
1923	books and pamphlets	Law	3,662,777
1923	books and pamphlets	Poetry and drama	2,985,271
1923	books and pamphlets	Religion and theology	48,193,861
1923	books and pamphlets	All other	60,002,141
1921	books and pamphlets	total	325,950,602
1921	books and pamphlets	Education	164,648,606
1921	books and pamphlets	Fiction	21,632,483
1921	books and pamphlets	History	1,404,860
1921	books and pamphlets	Juvenile	30,773,228
1921	books and pamphlets	Law	2,295,034
1921	books and pamphlets	Poetry and drama	2,229,005
1921	books and pamphlets	Religion and theology	30,626,056
1921	books and pamphlets	All other	72,341,330
1919	books and pamphlets	total	252,068,816
1919	books and pamphlets	Education	75,075,335
1919	books and pamphlets	Fiction	24,317,643
1919	books and pamphlets	History	6,280,483
1919	books and pamphlets	Juvenile	24,434,912
1919	books and pamphlets	Law	2,254,861
1919	books and pamphlets	Poetry and drama	2,682,568
1919	books and pamphlets	Religion and theology	36,496,230
1919	books and pamphlets	All other	80,626,784
