year,category,by_origin,subcategory,count,note,issue,page,source
1884,fiction,F,titles,943,,731,129,hvd.32044093010361
1884,juvenile,F,titles,358,,731,129,hvd.32044093010361
1884,total,F,titles,4088,,731,129,hvd.32044093010361
1885,fiction,F,titles,934,,731,129,hvd.32044093010361
1885,juvenile,F,titles,388,,731,129,hvd.32044093010361
1885,total,F,titles,4030,,731,129,hvd.32044093010361
1886,fiction,F,titles,1080,,783-4,186,mdp.39015019094674
1886,juvenile,F,titles,469,,783-4,186,mdp.39015019094674
1886,total,F,titles,4676,,783-4,186,mdp.39015019094674
1887,fiction,F,titles,1022,,837,315,mdp.39015033509525
1887,total,F,titles,4437,,837,315,mdp.39015033509525
1888,fiction,F,titles,874,,939,146,mdp.39015033511257
1888,total,F,titles,4631,,939,146,mdp.39015033511257
1889,fiction,F,titles,942,,939,146,mdp.39015033511257
1889,total,F,titles,4014,,939,146,mdp.39015033511257
1890,fiction,T,US authored,935,NB special new-ed breakout,991,146,mdp.39015012108448
1890,fiction,T,US-author editions,105,NB special new-ed breakout,991,146,mdp.39015012108448
1890,total,T,US authored,3180,NB special new-ed breakout,991,146,mdp.39015012108448
1890,total,T,US-author editions,353,NB special new-ed breakout,991,146,mdp.39015012108448
1890,fiction,T,imported titles,57,NB special new-ed breakout,991,146,mdp.39015012108448
1890,fiction,T,imported editions,31,NB special new-ed breakout,991,146,mdp.39015012108448
1890,total,T,imported titles,933,NB special new-ed breakout,991,146,mdp.39015012108448
1890,total,T,imported editions,93,NB special new-ed breakout,991,146,mdp.39015012108448
1891,fiction,F,titles,1105,no new-ed or import breakout,1044,187,mdp.39015033511281
1891,total,F,titles,4665,no new-ed or import breakout,1044,187,mdp.39015033511281
1892,fiction,F,titles,735,copyright means fewer rpts,1096,170,mdp.39015033511307
1892,fiction,F,editions,367,,1096,170,mdp.39015033511307
1892,total,F,titles,4074,,1096,170,mdp.39015033511307
1892,total,F,editions,788,,1096,170,mdp.39015033511307
1893,fiction,F,titles,772,,1148,165,mdp.39015033511323
1893,fiction,F,editions,360,,1148,165,mdp.39015033511323
1893,total,F,titles,4281,,1148,165,mdp.39015033511323
1893,total,F,editions,853,,1148,165,mdp.39015033511323
1893,fiction,T,US authored,263,,1148,165,mdp.39015033511323
1893,fiction,T,US manufactured,834,by English and other foreign authors,1148,165,mdp.39015033511323
1893,fiction,T,imported,35,by English authors in sheets,1148,165,mdp.39015033511323
1893,total,T,US authored,2803,,1148,165,mdp.39015033511323
1893,total,T,US manufactured,1180,by English and other foreign authors,1148,165,mdp.39015033511323
1893,total,T,imported,1151,by English authors in sheets,1148,165,mdp.39015033511323
1894,fiction,F,titles,573,,1200,171,mdp.39015033511349
1894,fiction,F,editions,156,,1200,171,mdp.39015033511349
1894,total,F,titles,3837,,1200,171,mdp.39015033511349
1894,total,F,editions,647,,1200,171,mdp.39015033511349
1894,fiction,T,US authored,370,,1200,171,mdp.39015033511349
1894,fiction,T,US manufactured,297,,1200,171,mdp.39015033511349
1894,fiction,T,imported,62,by English authors in sheets or bound,1200,171,mdp.39015033511349
1894,total,T,US authored,2821,,1200,171,mdp.39015033511349
1894,total,T,US manufactured,577,,1200,171,mdp.39015033511349
1894,total,T,imported,1086,by English authors in sheets or bound,1200,171,mdp.39015033511349
1895,fiction,F,titles,1050,,1252,177,mdp.39015033511364
1895,fiction,F,editions,64,,1252,177,mdp.39015033511364
1895,total,F,titles,5101,,1252,177,mdp.39015033511364
1895,total,F,editions,368,,1252,177,mdp.39015033511364
1895,fiction,T,US authored,287,,1252,177,mdp.39015033511364
1895,fiction,T,US manufactured,589,,1252,177,mdp.39015033511364
1895,fiction,T,imported,238,,1252,177,mdp.39015033511364
1895,total,T,US authored,3396,,1252,177,mdp.39015033511364
1895,total,T,US manufactured,847,,1252,177,mdp.39015033511364
1895,total,T,imported,1226,,1252,177,mdp.39015033511364
1896,fiction,F,titles,1012,,1305,211,mdp.39015033511380
1896,fiction,F,editions,102,,1305,211,mdp.39015033511380
1896,total,F,titles,5189,,1305,211,mdp.39015033511380
1896,total,F,editions,514,,1305,211,mdp.39015033511380
1896,fiction,T,US authored,270,,1305,212,mdp.39015033511380
1896,fiction,T,US manufactured,690,,1305,212,mdp.39015033511380
1896,fiction,T,imported,154,,1305,212,mdp.39015033511380
1896,total,T,US authored,3300,,1305,212,mdp.39015033511380
1896,total,T,US manufactured,1261,,1305,212,mdp.39015033511380
1896,total,T,imported,1142,,1305,212,mdp.39015033511380
1897,fiction,F,titles,713,,1357,217,mdp.39015033511406
1897,fiction,F,editions,156,,1357,217,mdp.39015033511406
1897,total,F,titles,4171,,1357,217,mdp.39015033511406
1897,total,F,editions,757,,1357,217,mdp.39015033511406
1897,fiction,T,US authored,358,,1357,217,mdp.39015033511406
1897,fiction,T,US manufactured,352,,1357,217,mdp.39015033511406
1897,fiction,T,imported,159,,1357,217,mdp.39015033511406
1897,total,T,US authored,3318,,1357,217,mdp.39015033511406
1897,total,T,US manufactured,495,,1357,217,mdp.39015033511406
1897,total,T,imported,1115,,1357,217,mdp.39015033511406
1898,fiction,F,titles,724,,1409,170,mdp.39015033511422
1898,fiction,F,editions,181,,1409,170,mdp.39015033511422
1898,total,F,titles,4332,,1409,170,mdp.39015033511422
1898,total,F,editions,554,,1409,170,mdp.39015033511422
1898,fiction,T,US authored,358,,1409,170,mdp.39015033511422
1898,fiction,T,US manufactured,391,,1409,170,mdp.39015033511422
1898,fiction,T,imported,156,,1409,170,mdp.39015033511422
1898,total,T,US authored,2908,,1409,170,mdp.39015033511422
1898,total,T,US manufactured,834,,1409,170,mdp.39015033511422
1898,total,T,imported,1144,,1409,170,mdp.39015033511422
1899,fiction,F,titles,749,,1461,192,mdp.39015033511448
1899,fiction,F,editions,183,,1461,192,mdp.39015033511448
1899,total,F,titles,4749,,1461,192,mdp.39015033511448
1899,total,F,editions,572,,1461,192,mdp.39015033511448
1899,fiction,T,US authored,457,,1461,193,mdp.39015033511448
1899,fiction,T,US manufactured,354,,1461,193,mdp.39015033511448
1899,fiction,T,imported,121,,1461,193,mdp.39015033511448
1899,total,T,US authored,3626,,1461,193,mdp.39015033511448
1899,total,T,US manufactured,571,,1461,193,mdp.39015033511448
1899,total,T,imported,1124,,1461,193,mdp.39015033511448
1900,fiction,F,titles,616,,1513,80,mdp.39015033511463
1900,fiction,F,editions,662,,1513,80,mdp.39015033511463
1900,total,F,titles,4490,,1513,80,mdp.39015033511463
1900,total,F,editions,1866,,1513,80,mdp.39015033511463
1900,fiction,T,US authored,659,,1513,80,mdp.39015033511463
1900,fiction,T,US manufactured,453,,1513,80,mdp.39015033511463
1900,fiction,T,imported,166,,1513,80,mdp.39015033511463
1900,total,T,US authored,3878,,1513,80,mdp.39015033511463
1900,total,T,US manufactured,1388,,1513,80,mdp.39015033511463
1900,total,T,imported,1090,,1513,80,mdp.39015033511463
1901,fiction,F,titles,914,,1565,84,mdp.39015033511489
1901,fiction,F,editions,1320,,1565,84,mdp.39015033511489
1901,total,F,titles,5496,,1565,84,mdp.39015033511489
1901,total,F,editions,2645,,1565,84,mdp.39015033511489
1901,fiction,T,US authored,981,,1565,84,mdp.39015033511489
1901,fiction,T,US manufactured,1028,,1565,84,mdp.39015033511489
1901,fiction,T,imported,225,,1565,84,mdp.39015033511489
1901,total,T,US authored,4701,,1565,84,mdp.39015033511489
1901,total,T,US manufactured,2122,,1565,84,mdp.39015033511489
1901,total,T,imported,1318,,1565,84,mdp.39015033511489
1902,fiction,F,titles,838,,1618,141,mdp.39015033468185
1902,fiction,F,editions,959,,1618,141,mdp.39015033468185
1902,total,F,titles,5485,,1618,141,mdp.39015033468185
1902,total,F,editions,2348,,1618,141,mdp.39015033468185
1902,fiction,T,US authored,903,,1618,141,mdp.39015033468185
1902,fiction,T,US manufactured,818,,1618,141,mdp.39015033468185
1902,fiction,T,imported,76,,1618,141,mdp.39015033468185
1902,total,T,US authored,5210,,1618,141,mdp.39015033468185
1902,total,T,US manufactured,1578,,1618,141,mdp.39015033468185
1902,total,T,imported,1045,,1618,141,mdp.39015033468185
1903,fiction,F,titles,816,,1670,146,mdp.39015033468177
1903,fiction,F,editions,644,,1670,146,mdp.39015033468177
1903,total,F,titles,5793,,1670,146,mdp.39015033468177
1903,total,F,editions,2072,,1670,146,mdp.39015033468177
1903,fiction,T,US authored,977,,1670,147,mdp.39015033468177
1903,fiction,T,US manufactured,396,,1670,147,mdp.39015033468177
1903,fiction,T,imported,87,,1670,147,mdp.39015033468177
1903,total,T,US authored,5621,,1670,147,mdp.39015033468177
